"Experiment","Sentence","Item","List","Content","No","Yes","Group","Question","AnswerL","AnswerR","Correct"
"MovingProc6","Throughout_the_morning the_manager burped in the corner_office.",69,7,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","After_the_meeting the_manager burped in the corner_office.",69,8,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","Throughout_the_day the_cannon blasted on top_of the_castle.",70,7,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","After_the_show the_cannon blasted on top_of the_castle.",70,8,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","All_morning_long the_cart banged in the_cramped store_aisle.",71,7,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","A_moment_ago the_cart banged in the_cramped store_aisle.",71,8,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","All_afternoon_long the_dog dived in the_olympic-sized pool.",72,7,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","After_the_walk the_dog dived in the_olympic-sized pool.",72,8,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","All_night_long the_elephant snorted in the_grassy savannah.",73,7,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","After_dusk the_elephant snorted in the_grassy savannah.",73,8,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","Throughout_the_evening the_princess curtseyed in front_of the_guests.",74,7,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","After_the_dance the_princess curtseyed in front_of the_guests.",74,8,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","All_day_long the_alloy sparked atop the_hot anvil.",75,7,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","A_minute_ago the_alloy sparked atop the_hot anvil.",75,8,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","Throughout_the_day the_student sneezed in the_back_of the_classroom.",76,7,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","After_the_test the_student sneezed in the_back_of the_classroom.",76,8,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","For_45_seconds the_computer beeped in the_busy lab.",77,7,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc6","After_the_experiment the_computer beeped in the_busy lab.",77,8,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","For_ten_minutes the_professor called from the_cluttered office.",78,7,"makes sense?","yes = 1","no = 5",2,,,,
"MovingProc6","After_the_meeting the_professor called from the_cluttered office.",78,8,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc7","It had_snowed heavily and_so the_janitor shoveled the_driveway.",80,9,"makes sense?","yes = 1","no = 5",1,"What did the janitor do?","Shovel the driveway","Shovel the sidewalk","L"
"MovingProc8","Because the_building was full_of_ants the_exterminator spread huge_amounts of_insecticide.",81,9,"makes sense?","yes = 1","no = 5",1,"What was the building full of?","Termites","Ants","R"
"MovingProc7","Before the_scientist submitted the_paper the_journal changed its_policy.",82,9,"makes sense?","yes = 1","no = 5",1,"What did the journal change?","Its policy","Its schedule","L"
"MovingProc8","Before the_goal_keeper could catch the_ball Sam managed to_score_a_goal.",83,9,"makes sense?","yes = 1","no = 5",1,"Who managed to score a goal?","Max","Sam","R"
"MovingProc7","Before the_flute_player started his_solo the_conductor had_cued him.",84,9,"makes sense?","yes = 1","no = 5",1,"Who started a solo?","The flute player","The saxophone player","L"
"MovingProc7","The_old_lady slipped because the_boy had_heedlessly dropped a_banana_peel.",85,9,"makes sense?","yes = 1","no = 5",1,"What did the boy do?","Drop a candy bar wrapper","Drop a banana peel","R"
"MovingProc8","Within_half_an_hour John ran four_miles and_then he got on_his_bike.",86,9,"makes sense?","yes = 1","no = 5",1,"How far did John run?","Four miles","Two miles","L"
"MovingProc8","The_mountaineer reached the_top of_Mount_Everest even_though there_was a_storm coming.",87,9,"makes sense?","yes = 1","no = 5",1,"Who reached the top of Mount Everest?","The helicopter crew","The mountaineer","R"
"MovingProc8","Twenty_minutes_ago the_athlete won the_race even_though he_was_in terrible pain.",88,9,"makes sense?","yes = 1","no = 5",1,"When did the athlete win the race?","Twenty minutes ago","Twenty years ago","L"
"MovingProc8","Mr._Jones arrived at_the_airport when they_had_made the_final_announcement for_his_flight already.",89,9,"makes sense?","yes = 1","no = 5",1,"Where did Mr. Jones arrive?","At the train station","At the airport","R"
"MovingProc9","When Betty entered_the_kitchen she_discovered that someone had_broken into the_house.",90,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc7","Because she was_tired Kate walked_home from_school very_slowly.",91,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","Whenever an_astronomer discovers a_new_star he may_choose a_name for_it.",92,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc7","When the_bassoonist left the_orchestra everyone was relieved.",93,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","The_groom hit the_best_man violently although the_latter had_apologized over_and_over_again.",94,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc9","Although nobody knows anything about this_disease the_politicians don't_think it_is_dangerous.",95,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","Before the_architect could_find the_construction_flaw the_bridge had already collapsed.",96,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","Shortly_after the_politician began his_speech the_angry_crowd threw rotten_vegetables at_him.",97,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","Before the_settlers reached the_Pacific_Ocean they had_to cross the_Sierra_Nevada.",98,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","After Mr._Carlson had_entered the_casino he played Black_Jack for_three_hours.",99,9,"makes sense?","yes = 1","no = 5",1,,,,
"MovingProc8","A_big_crowd had gathered within_an_hour in_front_of the_hotel the_boy_group was_staying_at.",100,9,"makes sense?","yes = 1","no = 5",1,,,,
